,Labels,Images
0,Cleavers,615d2b0a9.png
1,Small-flowered Cranesbill,0021e90e4.png
2,Loose Silky-bent,003d61042.png
3,Sugar beet,007b3da8b.png
4,Common Chickweed,0086a6340.png
5,Sugar beet,00c47e980.png
6,Common Chickweed,00d090cde.png
7,Common Chickweed,00ef713a8.png
8,Fat Hen,01291174f.png
9,Loose Silky-bent,026716f9b.png
10,Loose Silky-bent,02cfeb38d.png
11,Common Chickweed,03566743d.png
12,Small-flowered Cranesbill,03a2ee656.png
13,Fat Hen,03e322a29.png
14,Scentless Mayweed,03ef36742.png
15,Fat Hen,043449b0b.png
16,Black-grass,0437393b1.png
17,Common Chickweed,04814f36d.png
18,Common Chickweed,060450d79.png
19,Cleavers,060f1dc84.png
20,Common Chickweed,0625f063b.png
21,Small-flowered Cranesbill,063363305.png
22,Shepherds Purse,06d12f6fa.png
23,Fat Hen,071cb3ece.png
24,Sugar beet,0751c0bbc.png
25,Maize,07e62f903.png
26,Common Chickweed,085974290.png
27,Common Chickweed,0885e7690.png
28,Common Chickweed,089ad62a7.png
29,Sugar beet,08d591441.png
30,Common Chickweed,0911d3dee.png
31,Common Chickweed,099b961ec.png
32,Loose Silky-bent,0a64e3e6c.png
33,Maize,0ad9e7dfb.png
34,Loose Silky-bent,0ae6668fa.png
35,Fat Hen,0c27cf05f.png
36,Loose Silky-bent,0c4199daa.png
37,Common Chickweed,0c45ace27.png
38,Maize,0c51bf229.png
39,Loose Silky-bent,0c5f6c493.png
40,Loose Silky-bent,0caeda5df.png
41,Fat Hen,0d117d910.png
42,Small-flowered Cranesbill,0d31e6602.png
43,Sugar beet,0dba99002.png
44,Maize,0e8492cb1.png
45,Maize,0ebf8f2f4.png
46,Common Chickweed,0ee4ad224.png
47,Maize,0f6cbe5e8.png
48,Small-flowered Cranesbill,0fb233ad6.png
49,Loose Silky-bent,115f93ecc.png
50,Sugar beet,116b136de.png
51,Fat Hen,1191ba346.png
52,Maize,122913909.png
53,Fat Hen,12625488b.png
54,Charlock,126a71ce0.png
55,Small-flowered Cranesbill,1312065a5.png
56,Cleavers,1364b297a.png
57,Loose Silky-bent,1376f3b63.png
58,Fat Hen,13b9fa92d.png
59,Cleavers,1459e96a0.png
60,Charlock,148bbda66.png
61,Loose Silky-bent,14bb43eee.png
62,Maize,1541bdb2e.png
63,Loose Silky-bent,1623fb9e1.png
64,Black-grass,16357b436.png
65,Loose Silky-bent,16467a950.png
66,Shepherds Purse,165681fd9.png
67,Shepherds Purse,1694a70e4.png
68,Small-flowered Cranesbill,16fd2e01a.png
69,Common Chickweed,05341a8a6.png
70,Loose Silky-bent,0bf7bfb05.png
71,Loose Silky-bent,11d3f68ff.png
72,Common Chickweed,172f9b10b.png
73,Loose Silky-bent,1c680883c.png
74,Common Chickweed,219fd68d5.png
75,Fat Hen,25fa8d109.png
76,Maize,2df78338c.png
77,Loose Silky-bent,34dd57ca9.png
78,Loose Silky-bent,39c8fde99.png
79,Common Chickweed,3f826b318.png
80,Cleavers,456d507c0.png
81,Cleavers,4c5ab9b68.png
82,Loose Silky-bent,5315c2dca.png
83,Common Chickweed,589e643b8.png
84,Fat Hen,5bbc0a255.png
85,Scentless Mayweed,17529c555.png
86,Common Chickweed,1758a1baf.png
87,Common Chickweed,177d7e2a4.png
88,Loose Silky-bent,17a78fb44.png
89,Loose Silky-bent,17d5e5ac4.png
90,Common Chickweed,1821eb11a.png
91,Scentless Mayweed,187668bde.png
92,Loose Silky-bent,1926e82fd.png
